PERMNO,CUSIP,TICKER_CRDS,TICKER,Unnamed: 4
13537,35180X10,TAX,TAX,
13537,35180X10,FRG,FRG,
13543,37957720,GMED,GMED,
13547,G5784H10,MANU,MANU,
13548,9423510,BLMN,BLMN,
13551,29013910,ELOQ,ELOQ,
13559,7.14E+14,PFMT,PFMT,
13560,71366R70,PSMI,PSMI,
13563,88677Q10,TTS,TTS,
13564,90331310,USMD,USMD,
13577,44917210,HY,HY,
13579,63370710,NBHC,NBHC,
13580,84860F10,SRC,SRC,
13585,89788810,TRLA,TRLA,
13594,13979410,CBF,CBF,
13597,37960610,GLRI,GLRI,
13599,53222K20,LFVN,LFVN,
13600,74758T30,QLYS,QLYS,
13603,2888210,AMPH,AMPH,
13604,08579W10,BERY,BERY,
13610,68066520,OLN,OLN,
13614,47200B10,JMI,JMI,
13616,53224V10,LOCK,LOCK,
13617,55067810,LXFR,LXFR,
13621,74587V10,PBYI,PBYI,
13622,75605Y10,RLGY,RLGY,
13625,82569010,SSTK,SSTK,
13632,G3556910,FLTX,FLTX,
13634,G037AX10,AMBA,AMBA,
13636,98420V10,MESG,MESG,
13640,12653410,CUNB,CUNB,
13641,25278X10,FANG,FANG,
13643,45845P10,ICPT,ICPT,
13644,50157010,KYTH,KYTH,
13652,75915K20,RGLS,RGLS,
13656,81236210,SHOS,SHOS,
13687,74967X10,RH,RH,
13690,78122010,RKUS,RKUS,
13691,84130C10,SXE,SXE,
13692,85856810,SCM,SCM,
13694,16402410,CHMG,CHMG,
13704,64049M20,NEO,NEO,
13705,U7260311,PLPM,PLPM,
13706,G7280010,PRTA,PRTA,
13708,75971M10,REMY,REMY,
13711,83416T10,SCTY,SCTY,
13712,91071010,UIHC,UIHC,
13713,94073010,WFBI,WFBI,
13714,96524V10,WHF,WHF,
13723,35904G10,RESI,RESI,
13730,69318G10,PBF,PBF,
13736,82735Q10,SBY,SBY,
13738,95866910,WES,WES,
13739,10919410,BFAM,BFAM,
13743,11040G10,VTOL,VTOL,
13744,30150540,FLAG,FLAG,
13748,87265H10,TPH,TPH,
13752,23283R10,CONE,CONE,
13755,44486320,KBIO,KBIO,
13756,37654910,LAND,LAND,
13757,53122987,LMCA,LMCA,
13757,53122987,FWONA,FWONA,
13759,53630M10,LPDX,LPDX,
13761,85858C10,STML,STML,
13766,09739D10,BCC,BCC,
13775,68571X10,ORC,ORC,
13777,2968310,AMSWA,AMSWA,
13787,75574U10,RC,RC,
13789,G0620711,AFH,AFH,
